state,year,civilian_labor_force_population,unemployed
Idaho,2006,747377 ,26031 
Illinois,2006,6526273 ,295428 
Indiana,2006,3235110 ,162997 
Iowa,2006,1657584 ,61054 
Kansas,2006,1467095 ,64299 
Kentucky,2006,2029231 ,115759 
Louisiana,2006,1988513 ,88532 
Maine,2006,701541 ,31987 
Maryland,2006,2963866 ,114512 
Massachusetts,2006,3413339 ,167023 
Michigan,2006,5076656 ,355571 
Minnesota,2006,2887832 ,115717 
Mississippi,2006,1290171 ,84265 
Missouri,2006,3029689 ,146932 
Montana,2006,493614 ,17237 
Nebraska,2006,970052 ,30178 
Nevada,2006,1285318 ,52031 
New Hampshire,2006,731854 ,25077 
New Jersey,2006,4445879 ,209394 
New Mexico,2006,928094 ,38646 
New York,2006,9508149 ,430620 
North Carolina,2006,4444967 ,210872 
North Dakota,2006,361459 ,11638 
Ohio,2006,5945482 ,321047 
Oklahoma,2006,1715794 ,68696 
Oregon,2006,1885385 ,100341 
Pennsylvania,2006,6294504 ,287870 
Rhode Island,2006,572601 ,28244 
South Carolina,2006,2109097 ,135760 
South Dakota,2006,435007 ,13524 
Tennessee,2006,3036029 ,157574 
Texas,2006,11327995 ,553505 
Utah,2006,1318450 ,39122 
Vermont,2006,357007 ,13142 
Virginia,2006,3978641 ,123008 
Washington,2006,3323938 ,167312 
West Virginia,2006,806168 ,39769 
Wisconsin,2006,3058935 ,144785 
Wyoming,2006,281247 ,8911 
Alabama,2007,2175612 ,86485 
Alaska,2007,350785 ,22206 
Arizona,2007,3034016 ,116899 
Arkansas,2007,1369284 ,72712 
California,2007,17893080 ,961490 
Colorado,2007,2664677 ,99459 
Connecticut,2007,1856209 ,83050 
Delaware,2007,443573 ,15261 
District of Columbia,2007,322237 ,17811 
Florida,2007,9157124 ,367354 
Georgia,2007,4815818 ,218178 
Hawaii,2007,638395 ,17860 
Idaho,2007,754438 ,23203 
Illinois,2007,6665601 ,331591 
Indiana,2007,3207687 ,146645 
Iowa,2007,1660677 ,61345 
Kansas,2007,1483458 ,63009 
Kentucky,2007,2032082 ,109862 
Louisiana,2007,2030434 ,86396 
Maine,2007,700468 ,32687 
Maryland,2007,2970094 ,102746 
Massachusetts,2007,3426009 ,157913 
Michigan,2007,5011120 ,352181 
Minnesota,2007,2906390 ,132686 
Mississippi,2007,1303514 ,79455 
Missouri,2007,3034579 ,154932 
Montana,2007,502070 ,17881 
Nebraska,2007,978763 ,29269 
Nevada,2007,1330396 ,59824 
New Hampshire,2007,737942 ,25934 
New Jersey,2007,4441797 ,189982 
New Mexico,2007,934027 ,35029 
New York,2007,9522056 ,433849 
North Carolina,2007,4512856 ,212552 
North Dakota,2007,367234 ,11468 
Ohio,2007,5990292 ,332574 
Oklahoma,2007,1726259 ,70769 
Oregon,2007,1921766 ,98994 
Pennsylvania,2007,6342997 ,278934 
Rhode Island,2007,573173 ,29772 
South Carolina,2007,2125891 ,120205 
South Dakota,2007,442499 ,12488 
Tennessee,2007,3063669 ,143317 
Texas,2007,11431631 ,490218 
Utah,2007,1359129 ,35069 
Vermont,2007,353739 ,14192 
Virginia,2007,4036835 ,122748 
Washington,2007,3403163 ,159855 
West Virginia,2007,811160 ,37170 
Wisconsin,2007,3087828 ,151376 
Wyoming,2007,286560 ,8074 
Alabama,2008,2176489 ,123012 
Alaska,2008,356109 ,23824 
Arizona,2008,3104863 ,190960 
Arkansas,2008,1375257 ,75240 
California,2008,18178123 ,1323641 
Colorado,2008,2716625 ,131382 
Connecticut,2008,1881454 ,106773 
Delaware,2008,447041 ,22127 
District of Columbia,2008,330544 ,21352 
Florida,2008,9215524 ,578360 
Georgia,2008,4879253 ,304243 
Hawaii,2008,639691 ,27571 
Idaho,2008,755153 ,38500 
Illinois,2008,6657227 ,418616 
Indiana,2008,3232097 ,190269 
Iowa,2008,1679293 ,70598 
Kansas,2008,1499676 ,69048 
Kentucky,2008,2030738 ,130055 
Louisiana,2008,2084835 ,102454 
Maine,2008,701646 ,38488 
Maryland,2008,3001953 ,126966 
Massachusetts,2008,3452468 ,191060 
Michigan,2008,4921466 ,392177 
Minnesota,2008,2925088 ,158746 
Mississippi,2008,1306772 ,85781 
Missouri,2008,3028857 ,186012 
Montana,2008,509163 ,25816 
Nebraska,2008,989757 ,32998 
Nevada,2008,1363574 ,91387 
New Hampshire,2008,742781 ,28677 
New Jersey,2008,4504432 ,240467 
New Mexico,2008,944548 ,42137 
New York,2008,9664773 ,525693 
North Carolina,2008,4560059 ,278346 
North Dakota,2008,371025 ,11692 
Ohio,2008,5965166 ,384323 
Oklahoma,2008,1746466 ,65385 
Oregon,2008,1955121 ,127769 
Pennsylvania,2008,6451535 ,341890 
Rhode Island,2008,570328 ,44387 
South Carolina,2008,2142232 ,145823 
South Dakota,2008,446618 ,13693 
Tennessee,2008,3054785 ,201039 
Texas,2008,11664390 ,560275 
Utah,2008,1371201 ,49112 
Vermont,2008,354899 ,16626 
Virginia,2008,4133443 ,163015 
Washington,2008,3478577 ,187268 
West Virginia,2008,812905 ,35345 
Wisconsin,2008,3091796 ,151358 
Wyoming,2008,293279 ,8969 
Alabama,2009,2162999 ,238252 
Alaska,2009,359647 ,27855 
Arizona,2009,3128110 ,310533 
Arkansas,2009,1358911 ,106512 
California,2009,18215140 ,2032568 
Colorado,2009,2722982 ,198539 
Connecticut,2009,1891077 ,150106 
Delaware,2009,437500 ,36188 
District of Columbia,2009,335672 ,31172 
Florida,2009,9094825 ,946702 
Georgia,2009,4787749 ,475895 
Hawaii,2009,631690 ,45168 
Idaho,2009,757131 ,66409 
Illinois,2009,6618658 ,675429 
Indiana,2009,3193989 ,329004 
Iowa,2009,1687411 ,108163 
Kansas,2009,1518207 ,104334 
Kentucky,2009,2060162 ,213036 
Louisiana,2009,2064768 ,140884 
Maine,2009,696219 ,56265 
Maryland,2009,3032700 ,212455 
Massachusetts,2009,3470382 ,281372 
Michigan,2009,4903544 ,669741 
Minnesota,2009,2941976 ,228550 
Mississippi,2009,1269219 ,120289 
Missouri,2009,3049563 ,282852 
Montana,2009,501014 ,34301 
Nebraska,2009,991583 ,45935 
Nevada,2009,1349299 ,152541 
New Hampshire,2009,744227 ,46425 
New Jersey,2009,4550645 ,412075 
New Mexico,2009,940352 ,70861 
New York,2009,9647485 ,802999 
North Carolina,2009,4570789 ,483684 
North Dakota,2009,368665 ,15210 
Ohio,2009,5906768 ,609670 
Oklahoma,2009,1764432 ,112409 
Oregon,2009,1976638 ,222956 
Pennsylvania,2009,6400263 ,514912 
Rhode Island,2009,567280 ,62329 
South Carolina,2009,2152745 ,242075 
South Dakota,2009,446010 ,22017 
Tennessee,2009,3052678 ,319565 
Texas,2009,11910799 ,901896 
Utah,2009,1365850 ,99841 
Vermont,2009,359836 ,23732 
Virginia,2009,4118171 ,275655 
Washington,2009,3535200 ,323551 
West Virginia,2009,814027 ,62862 
Wisconsin,2009,3100348 ,266013 
Wyoming,2009,300120 ,18970 
Alabama,2010,2196042 ,231483 
Alaska,2010,361913 ,28497 
Arizona,2010,3089705 ,320251 
Arkansas,2010,1353338 ,110842 
California,2010,18336271 ,2244326 
Colorado,2010,2724417 ,238013 
Connecticut,2010,1911712 ,174263 
Delaware,2010,434419 ,36550 
District of Columbia,2010,346065 ,32557 
Florida,2010,9212066 ,1018407 
Georgia,2010,4696676 ,494624 
Hawaii,2010,647249 ,44967 
Idaho,2010,761056 ,68230 
Illinois,2010,6625321 ,688274 
Indiana,2010,3175192 ,329584 
Iowa,2010,1678281 ,100834 
Kansas,2010,1500764 ,105806 
Kentucky,2010,2054375 ,209725 
Louisiana,2010,2086076 ,166224 
Maine,2010,695182 ,56552 
Maryland,2010,3073826 ,235334 
Massachusetts,2010,3480083 ,289265 
Michigan,2010,4798954 ,604913 
Minnesota,2010,2938795 ,217601 
Mississippi,2010,1306608 ,135729 
Missouri,2010,3056484 ,292949 
Montana,2010,500525 ,36527 
Nebraska,2010,993398 ,46038 
Nevada,2010,1358578 ,183804 
New Hampshire,2010,738257 ,43122 
New Jersey,2010,4555330 ,433875 
New Mexico,2010,936088 ,75934 
New York,2010,9595362 ,825639 
North Carolina,2010,4616691 ,501062 
North Dakota,2010,378342 ,14289 
Ohio,2010,5846886 ,599836 
Oklahoma,2010,1768284 ,120146 
Oregon,2010,1984039 ,210963 
Pennsylvania,2010,6380949 ,540062 
Rhode Island,2010,566704 ,63488 
South Carolina,2010,2155668 ,240623 
South Dakota,2010,441339 ,21984 
Tennessee,2010,3090795 ,298732 
Texas,2010,12241970 ,997338 
Utah,2010,1356097 ,106283 
Vermont,2010,359402 ,21914 
Virginia,2010,4157658 ,297272 
Washington,2010,3511326 ,350782 
West Virginia,2010,811125 ,70215 
Wisconsin,2010,3081512 ,267119 
Wyoming,2010,303297 ,19553 
Alabama,2011,2202670 ,212257 
Alaska,2011,365913 ,27752 
Arizona,2011,3037017 ,288547 
Arkansas,2011,1362682 ,113168 
California,2011,18415100 ,2156967 
Colorado,2011,2736079 ,228814 
Connecticut,2011,1914775 ,168808 
Delaware,2011,443346 ,33260 
District of Columbia,2011,350778 ,35607 
Florida,2011,9300542 ,928904 
Georgia,2011,4748754 ,485449 
Hawaii,2011,660253 ,44934 
Idaho,2011,765178 ,63712 
Illinois,2011,6586893 ,638527 
Indiana,2011,3181991 ,290046 
Iowa,2011,1662376 ,92199 
Kansas,2011,1491087 ,97005 
Kentucky,2011,2056410 ,193482 
Louisiana,2011,2073217 ,162196 
Maine,2011,699281 ,55196 
Maryland,2011,3096561 ,224477 
Massachusetts,2011,3469308 ,251554 
Michigan,2011,4685164 ,486815 
Minnesota,2011,2946279 ,191015 
Mississippi,2011,1342808 ,134061 
Missouri,2011,3047786 ,258562 
Montana,2011,501225 ,34822 
Nebraska,2011,1003256 ,44197 
Nevada,2011,1373115 ,178851 
New Hampshire,2011,736302 ,39770 
New Jersey,2011,4565272 ,426808 
New Mexico,2011,930356 ,70051 
New York,2011,9517361 ,789304 
North Carolina,2011,4633072 ,475529 
North Dakota,2011,388634 ,13481 
Ohio,2011,5771469 ,510231 
Oklahoma,2011,1772666 ,104248 
Oregon,2011,1993889 ,189569 
Pennsylvania,2011,6395506 ,506761 
Rhode Island,2011,560056 ,61808 
South Carolina,2011,2175523 ,229623 
South Dakota,2011,440934 ,20880 
Tennessee,2011,3125307 ,280645 
Texas,2011,12504498 ,969403 
Utah,2011,1350444 ,91107 
Vermont,2011,358108 ,19645 
Virginia,2011,4211802 ,277476 
Washington,2011,3461428 ,321238 
West Virginia,2011,807021 ,65049 
Wisconsin,2011,3079759 ,238763 
Wyoming,2011,306815 ,17796 
Alabama,2012,2174972 ,173123 
Alaska,2012,365674 ,26066 
Arizona,2012,3031199 ,252774 
Arkansas,2012,1342327 ,101681 
California,2012,18551413 ,1923578 
Colorado,2012,2759437 ,217170 
Connecticut,2012,1888336 ,157641 
Delaware,2012,445708 ,32119 
District of Columbia,2012,365055 ,32987 
Florida,2012,9391203 ,798785 
Georgia,2012,4788068 ,438272 
Hawaii,2012,647625 ,38903 
Idaho,2012,769617 ,55636 
Illinois,2012,6584691 ,591543 
Indiana,2012,3171569 ,264439 
Iowa,2012,1649169 ,83295 
Kansas,2012,1483574 ,85100 
Kentucky,2012,2058982 ,167944 
Louisiana,2012,2080664 ,147784 
Maine,2012,702799 ,52550 
Maryland,2012,3120678 ,217005 
Massachusetts,2012,3486326 ,232266 
Michigan,2012,4672484 ,426251 
Minnesota,2012,2958273 ,165130 
Mississippi,2012,1317447 ,118533 
Missouri,2012,3016161 ,210040 
Montana,2012,506446 ,30331 
Nebraska,2012,1015555 ,40523 
Nevada,2012,1378094 ,153779 
New Hampshire,2012,741031 ,40741 
New Jersey,2012,4585318 ,426765 
New Mexico,2012,928739 ,66183 
New York,2012,9617611 ,819779 
North Carolina,2012,4680265 ,433126 
North Dakota,2012,397812 ,12216 
Ohio,2012,5706059 ,421537 
Oklahoma,2012,1804071 ,94719 
Oregon,2012,1954098 ,172670 
Pennsylvania,2012,6463922 ,506596 
Rhode Island,2012,558392 ,58076 
South Carolina,2012,2184113 ,200607 
South Dakota,2012,442575 ,18924 
Tennessee,2012,3103047 ,242692 
Texas,2012,12682204 ,851848 
Utah,2012,1373479 ,74190 
Vermont,2012,354849 ,17602 
Virginia,2012,4225252 ,255362 
Washington,2012,3472727 ,282306 
West Virginia,2012,807595 ,60503 
Wisconsin,2012,3074339 ,216666 
Wyoming,2012,307425 ,16349 
Alabama,2013,2167238 ,156807 
Alaska,2013,365216 ,25259 
Arizona,2013,3039865 ,235527 
Arkansas,2013,1307986 ,95977 
California,2013,18670058 ,1669025 
Colorado,2013,2780536 ,189885 
Connecticut,2013,1872031 ,145156 
Delaware,2013,442518 ,29752 
District of Columbia,2013,373835 ,31774 
Florida,2013,9460552 ,689394 
Georgia,2013,4759506 ,390157 
Hawaii,2013,650708 ,31620 
Idaho,2013,772513 ,47558 
Illinois,2013,6561142 ,596562 
Indiana,2013,3193427 ,244486 
Iowa,2013,1672399 ,79372 
Kansas,2013,1485405 ,79031 
Kentucky,2013,2058186 ,166159 
Louisiana,2013,2106424 ,141790 
Maine,2013,707623 ,46961 
Maryland,2013,3127825 ,206450 
Massachusetts,2013,3513565 ,235764 
Michigan,2013,4729625 ,418363 
Minnesota,2013,2971523 ,146553 
Mississippi,2013,1271436 ,109622 
Missouri,2013,3011601 ,202199 
Montana,2013,513255 ,27799 
Nebraska,2013,1019345 ,38566 
Nevada,2013,1385312 ,132440 
New Hampshire,2013,741937 ,37741 
New Jersey,2013,4528492 ,370843 
New Mexico,2013,923685 ,64257 
New York,2013,9636411 ,742783 
North Carolina,2013,4683022 ,372205 
North Dakota,2013,406602 ,11769 
Ohio,2013,5717133 ,426986 
Oklahoma,2013,1806829 ,96048 
Oregon,2013,1909842 ,150645 
Pennsylvania,2013,6440444 ,475718 
Rhode Island,2013,557256 ,51570 
South Carolina,2013,2189368 ,166924 
South Dakota,2013,444880 ,16805 
Tennessee,2013,3077048 ,239150 
Texas,2013,12891255 ,800754 
Utah,2013,1409366 ,64729 
Vermont,2013,351342 ,15486 
Virginia,2013,4239491 ,241247 
Washington,2013,3464760 ,243900 
West Virginia,2013,798953 ,53872 
Wisconsin,2013,3083790 ,207753 
Wyoming,2013,306571 ,14414 
Alabama,2014,2161313 ,147029 
Alaska,2014,365890 ,25086 
Arizona,2014,3097112 ,210700 
Arkansas,2014,1304141 ,79743 
California,2014,18827925 ,1409883 
Colorado,2014,2815200 ,140565 
Connecticut,2014,1886398 ,124788 
Delaware,2014,453631 ,25923 
District of Columbia,2014,378082 ,29353 
Florida,2014,9606715 ,607269 
Georgia,2014,4753765 ,337050 
Hawaii,2014,668346 ,29198 
Idaho,2014,781390 ,37816 
Illinois,2014,6515198 ,461314 
Indiana,2014,3227970 ,191986 
Iowa,2014,1697712 ,71442 
Kansas,2014,1494188 ,68218 
Kentucky,2014,2005603 ,129671 
Louisiana,2014,2156737 ,138144 
Maine,2014,696578 ,39276 
Maryland,2014,3128296 ,181776 
Massachusetts,2014,3557362 ,204224 
Michigan,2014,4754282 ,346138 
Minnesota,2014,2982750 ,124158 
Mississippi,2014,1249288 ,94476 
Missouri,2014,3051812 ,187830 
Montana,2014,515947 ,24009 
Nebraska,2014,1013899 ,33066 
Nevada,2014,1401801 ,110761 
New Hampshire,2014,740609 ,31713 
New Jersey,2014,4513600 ,303901 
New Mexico,2014,921380 ,62075 
New York,2014,9595304 ,605875 
North Carolina,2014,4690562 ,294276 
North Dakota,2014,415286 ,11139 
Ohio,2014,5702698 ,329944 
Oklahoma,2014,1797934 ,80798 
Oregon,2014,1939396 ,132068 
Pennsylvania,2014,6391421 ,375753 
Rhode Island,2014,555955 ,42738 
South Carolina,2014,2216782 ,142505 
South Dakota,2014,448631 ,15428 
Tennessee,2014,3046632 ,198855 
Texas,2014,13022851 ,664148 
Utah,2014,1431553 ,54540 
Vermont,2014,347898 ,13854 
Virginia,2014,4257986 ,221706 
Washington,2014,3492866 ,213891 
West Virginia,2014,789850 ,52371 
Wisconsin,2014,3086365 ,167399 
Wyoming,2014,306933 ,12726 
Alabama,2015,2146157 ,130968 
Alaska,2015,363822 ,23595 
Arizona,2015,3152708 ,193190 
Arkansas,2015,1330099 ,69484 
California,2015,18981770 ,1183156 
Colorado,2015,2828529 ,109831 
Connecticut,2015,1888001 ,106484 
Delaware,2015,467472 ,22894 
District of Columbia,2015,388388 ,26844 
Florida,2015,9675328 ,522064 
Georgia,2015,4770873 ,279942 
Hawaii,2015,677439 ,24500 
Idaho,2015,797475 ,33012 
Illinois,2015,6512386 ,386079 
Indiana,2015,3265761 ,156544 
Iowa,2015,1701329 ,62461 
Kansas,2015,1499009 ,63125 
Kentucky,2015,1953393 ,105455 
Louisiana,2015,2160195 ,135093 
Maine,2015,679756 ,29901 
Maryland,2015,3151929 ,163828 
Massachusetts,2015,3569956 ,177849 
Michigan,2015,4750627 ,257638 
Minnesota,2015,3010367 ,111503 
Mississippi,2015,1272657 ,83011 
Missouri,2015,3113760 ,155584 
Montana,2015,522727 ,21541 
Nebraska,2015,1012973 ,30266 
Nevada,2015,1425711 ,96159 
New Hampshire,2015,741192 ,25465 
New Jersey,2015,4543777 ,254952 
New Mexico,2015,919889 ,60647 
New York,2015,9679321 ,513075 
North Carolina,2015,4769245 ,273772 
North Dakota,2015,414344 ,11286 
Ohio,2015,5700344 ,277325 
Oklahoma,2015,1842049 ,78205 
Oregon,2015,1969466 ,112352 
Pennsylvania,2015,6423903 ,330045 
Rhode Island,2015,554558 ,33124 
South Carolina,2015,2257077 ,134504 
South Dakota,2015,452300 ,14223 
Tennessee,2015,3062775 ,176751 
Texas,2015,13078304 ,583954 
Utah,2015,1464404 ,51931 
Vermont,2015,344414 ,12590 
Virginia,2015,4240470 ,188562 
Washington,2015,3544242 ,200250 
West Virginia,2015,785049 ,52903 
Wisconsin,2015,3095376 ,142579 
Wyoming,2015,306012 ,12750 
